train_avg_loss,train_balanced_accuracy,val_avg_loss,val_balanced_accuracy
10.874561581922615,0.5300076452599388,10.721192200978598,0.514105504587156
2.279567001954369,0.682052752293578,2.1471109042565026,0.558677370030581
0.6197496259423054,0.8425363149847095,2.2084601670503616,0.4956039755351682
0.13957589382872634,0.9480982415902142,1.6384276325503986,0.5602064220183487
0.06112520524766296,0.9758218654434251,1.6112968375285466,0.5577599388379205
0.03344142913777867,0.9914564220183486,1.630550781885783,0.5827217125382262
0.021767856662019924,0.9978115443425076,1.6211830402414005,0.5873088685015291
0.02131351235236608,0.9978115443425076,1.6163178582986195,0.5831422018348624
0.020373426175311855,0.9989583333333334,1.614084891974926,0.5793960244648317
0.01960559334016263,0.9989583333333334,1.6139980579415958,0.5835626911314985
