epoch,batch,train_loss,train_accuracy,val_loss,val_accuracy,total_train_loss,total_train_accuracy
1,1,1.0735584497451782,0.4,2.275985262687168,0.33986928104575165,1.0906979841033009,0.6738754325259516
1,2,0.04432571679353714,0.7,,,,
1,3,9.916265116771683e-05,0.8,,,,
1,4,0.00025466643273830414,0.85,,,,
1,5,1.995531056309119e-05,0.88,,,,
1,6,1.2564404642034788e-05,0.9,,,,
1,7,8.177665222319774e-06,0.9142857142857143,,,,
1,8,1.3112799024384003e-05,0.925,,,,
1,9,8.08598804473877,0.8666666666666667,,,,
1,10,9.10844612121582,0.78,,,,
1,11,6.614206790924072,0.7090909090909091,,,,
1,12,1.3586089611053467,0.6833333333333333,,,,
1,13,0.06575466692447662,0.7076923076923077,,,,
1,14,0.0016644770512357354,0.7285714285714285,,,,
1,15,9.892803063848987e-05,0.7466666666666667,,,,
1,16,1.0061196917376947e-05,0.7625,,,,
1,17,1.168250150840322e-06,0.7764705882352941,,,,
1,18,1.4781938943997375e-06,0.7888888888888889,,,,
1,19,3.814696469817136e-07,0.8,,,,
1,20,7.152547709665669e-07,0.81,,,,
1,21,1.4305111051271524e-07,0.819047619047619,,,,
1,22,5.722042146771855e-07,0.8272727272727273,,,,
1,23,1.3351419738683035e-06,0.8347826086956521,,,,
1,24,3.814696469817136e-07,0.8416666666666667,,,,
1,25,2.8610210733859276e-07,0.848,,,,
1,26,4.768370942542788e-08,0.8538461538461538,,,,
1,27,4.291532036404533e-07,0.8592592592592593,,,,
1,28,0.0,0.8642857142857143,,,,
1,29,2.384185648907078e-08,0.8689655172413793,,,,
1,30,7.5114641189575195,0.86,,,,
1,31,12.870099067687988,0.8387096774193549,,,,
1,32,1.0371087228122633e-05,0.84375,,,,
1,33,0.002752248663455248,0.8484848484848485,,,,
1,34,0.08751474320888519,0.8529411764705882,,,,
1,35,0.20101311802864075,0.8571428571428571,,,,
1,36,0.06020931527018547,0.8611111111111112,,,,
1,37,0.1118023619055748,0.8648648648648649,,,,
1,38,0.042121898382902145,0.868421052631579,,,,
1,39,0.04119446128606796,0.8717948717948718,,,,
1,40,0.030959319323301315,0.875,,,,
1,41,0.023581061512231827,0.8780487804878049,,,,
1,42,0.004588919226080179,0.8809523809523809,,,,
1,43,0.0071392664685845375,0.8837209302325582,,,,
1,44,0.006174914073199034,0.8863636363636364,,,,
1,45,0.003802916733548045,0.8888888888888888,,,,
1,46,0.00552057009190321,0.8913043478260869,,,,
1,47,0.004778438247740269,0.8936170212765957,,,,
1,48,0.0039394148625433445,0.8958333333333334,,,,
1,49,0.006244872696697712,0.8979591836734694,,,,
1,50,0.00259523862041533,0.9,,,,
1,51,0.0015576540026813745,0.9019607843137255,,,,
1,52,0.002473193686455488,0.9038461538461539,,,,
1,53,0.002280839253216982,0.9056603773584906,,,,
1,54,0.0021655207965523005,0.9074074074074074,,,,
1,55,0.001834462396800518,0.9090909090909091,,,,
1,56,0.0011858619982376695,0.9107142857142857,,,,
1,57,0.001532318419776857,0.9122807017543859,,,,
1,58,0.0011137898545712233,0.9137931034482759,,,,
1,59,0.001638114801608026,0.9152542372881356,,,,
1,60,0.0012369785690680146,0.9166666666666666,,,,
1,61,0.0020694653503596783,0.9180327868852459,,,,
1,62,0.0021319573279470205,0.9193548387096774,,,,
1,63,6.922978401184082,0.9047619047619048,,,,
1,64,5.84911584854126,0.890625,,,,
1,65,3.7243645191192627,0.8769230769230769,,,,
1,66,0.27301275730133057,0.8787878787878788,,,,
1,67,1.710699439048767,0.8656716417910447,,,,
1,68,2.757126569747925,0.8529411764705882,,,,
1,69,2.6281001567840576,0.8405797101449275,,,,
1,70,1.9930130243301392,0.8285714285714286,,,,
1,71,0.6006028652191162,0.828169014084507,,,,
1,72,0.363567590713501,0.8305555555555556,,,,
1,73,2.17179799079895,0.8191780821917808,,,,
1,74,2.5920956134796143,0.8081081081081081,,,,
1,75,2.4995036125183105,0.7973333333333333,,,,
1,76,1.6259406805038452,0.7868421052631579,,,,
1,77,0.9472970962524414,0.7792207792207793,,,,
1,78,0.367672860622406,0.782051282051282,,,,
1,79,0.15409649908542633,0.7848101265822784,,,,
1,80,0.05858292058110237,0.7875,,,,
1,81,0.02138112299144268,0.7901234567901234,,,,
1,82,0.006204543169587851,0.7926829268292683,,,,
1,83,0.003856886876747012,0.7951807228915663,,,,
1,84,0.0018292379099875689,0.7976190476190477,,,,
1,85,0.0011342319194227457,0.8,,,,
1,86,0.00045291916467249393,0.8023255813953488,,,,
1,87,0.0003009759820997715,0.8045977011494253,,,,
1,88,0.00023655097174923867,0.8068181818181818,,,,
1,89,0.0001780332822818309,0.8089887640449438,,,,
1,90,0.00011607876513153315,0.8111111111111111,,,,
1,91,9.288832664489746,0.8021978021978022,,,,
1,92,8.588144302368164,0.7934782608695652,,,,
1,93,8.061835289001465,0.7849462365591398,,,,
1,94,6.630077362060547,0.776595744680851,,,,
1,95,0.00744654331356287,0.7789473684210526,,,,
1,96,0.02125931717455387,0.78125,,,,
1,97,0.0763292983174324,0.7835051546391752,,,,
1,98,0.2511947751045227,0.7857142857142857,,,,
1,99,0.6220447421073914,0.7838383838383839,,,,
1,100,0.4527738094329834,0.784,,,,
1,101,0.7747179269790649,0.7801980198019802,,,,
1,102,0.6044524908065796,0.7803921568627451,,,,
1,103,0.40478944778442383,0.7825242718446602,,,,
1,104,0.27069291472435,0.7846153846153846,,,,
1,105,0.16023819148540497,0.7866666666666666,,,,
1,106,0.1680494248867035,0.7886792452830189,,,,
1,107,0.0778394266963005,0.7906542056074767,,,,
1,108,0.03165172412991524,0.7925925925925926,,,,
1,109,0.0361146554350853,0.7944954128440367,,,,
1,110,0.025123396888375282,0.7963636363636364,,,,
1,111,0.020120184868574142,0.7981981981981981,,,,
1,112,0.02149812877178192,0.8,,,,
1,113,0.010908497497439384,0.8017699115044248,,,,
1,114,0.009198468178510666,0.8035087719298246,,,,
1,115,0.006606609560549259,0.8052173913043478,,,,
1,116,0.006436926778405905,0.8068965517241379,,,,
1,117,0.0058645084500312805,0.8085470085470086,,,,
1,118,0.00417726393789053,0.8101694915254237,,,,
1,119,0.004099571146070957,0.8117647058823529,,,,
1,120,0.002560746157541871,0.8133333333333334,,,,
1,121,0.0023227704223245382,0.8148760330578513,,,,
1,122,0.002917705802246928,0.8163934426229508,,,,
