train_avg_loss,train_balanced_accuracy,val_avg_loss,val_balanced_accuracy
4.949902971585591,0.5468144174665914,4.229110538959503,0.5701960784313725
1.4701811323563259,0.7712309429700734,4.495272199312846,0.5915686274509804
0.9239671778949824,0.8472379070205157,3.2976308465003967,0.5262745098039217
0.17439090824072165,0.9477649162431772,3.6603795488675437,0.5541176470588236
0.04836554940310166,0.9802889139845661,3.8595493038495383,0.6025490196078431
0.02513748749554383,0.9909561453039715,4.012209395567576,0.6023529411764705
0.012933437021054102,0.9983766233766234,3.9467905362447104,0.6023529411764705
0.010551595263126674,0.9985507246376812,3.8851914008458457,0.6123529411764705
0.00979249681580713,0.9985507246376812,3.871935188770294,0.6123529411764705
0.009455993825791997,0.9985507246376812,3.869923690954844,0.6123529411764705
