train_avg_loss,train_balanced_accuracy,val_avg_loss,val_balanced_accuracy
4.316121032704478,0.5424025229357798,2.4439993848403296,0.5541284403669725
0.8466885732891767,0.8150229357798164,1.8424346894025803,0.5438837920489297
0.2404773031644847,0.9071483180428135,1.9975937555233638,0.5489678899082568
0.04848694783978989,0.9824923547400611,2.8923263574639955,0.5373853211009174
0.039355275253910804,0.9845756880733945,2.4735602786143622,0.5110091743119266
0.0019770280970750837,1.0,2.439372626443704,0.5644495412844037
0.0006559603741508275,1.0,2.2873725295066833,0.5469036697247707
0.00031081236626129754,1.0,2.3239116072654724,0.5569189602446483
0.00026182420282091937,1.0,2.326504334807396,0.5569189602446483
0.000225446601610241,1.0,2.334112455447515,0.5569189602446483
