train_avg_loss,train_balanced_accuracy,val_avg_loss,val_balanced_accuracy
3.355106583755949,0.5803325688073395,2.0625593811273575,0.49954128440366974
0.510619656385287,0.8532683486238533,1.1195945019523303,0.5593654434250765
0.156608826250506,0.9408065749235475,1.479226420323054,0.487691131498471
0.021945932649744107,0.9955179663608562,1.5011624246835709,0.5035550458715596
0.012649097277418427,0.9988532110091743,1.5120158245166142,0.5181574923547401
0.008789720579364297,1.0,1.4815533409516017,0.5223241590214067
0.007051777004760325,1.0,1.4786004722118378,0.517737003058104
0.0069239184478014386,1.0,1.4795351177453995,0.517737003058104
0.006767254522697919,1.0,1.476435864965121,0.517737003058104
0.0066502417422547614,1.0,1.4766176342964172,0.517737003058104
