train_avg_loss,train_balanced_accuracy,val_avg_loss,val_balanced_accuracy
4.726724789194439,0.6097285932721712,2.2365943963328996,0.5240443425076453
1.0132089017525963,0.7794820336391437,2.1160182828704515,0.5547400611620795
0.2395997592855407,0.9201739296636087,2.0099524607261023,0.5747324159021406
0.04698271887015005,0.9832186544342507,1.670964499314626,0.5573394495412844
0.015803936804371442,0.9956230886850153,1.6474413722753525,0.5793960244648317
0.008335158751477771,1.0,1.663411224881808,0.5714831804281346
0.006126105126104844,1.0,1.6661113152901332,0.5756498470948013
0.005838926292515522,1.0,1.6688089122374852,0.5756498470948013
0.005765150063266249,1.0,1.6717064430316289,0.5756498470948013
0.005548793194896501,1.0,1.6720252235730488,0.5756498470948013
