train_avg_loss,train_balanced_accuracy,val_avg_loss,val_balanced_accuracy
4.316121032704478,0.5424025229357798,2.4439993848403296,0.5541284403669725
0.8466885732891767,0.8150229357798164,1.8424346894025803,0.5438837920489297
0.2404773031644847,0.9071483180428135,1.9975937555233638,0.5489678899082568
0.044511536742388474,0.9836391437308869,1.972045401732127,0.5527140672782875
0.015724130608799423,0.9967698776758409,1.9964245061079662,0.5689984709480123
0.009048931442679453,0.9989583333333334,1.9816008408864338,0.5598241590214067
0.006053594827592505,1.0,1.9789706965287526,0.5639908256880735
0.0058600913569376726,1.0,1.9767728596925735,0.5681574923547401
0.005694453160053261,1.0,1.9766563574473064,0.5681574923547401
0.005598425252094824,1.0,1.976441775759061,0.5681574923547401
